번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률
602,고딩엄빠2(본),오락,MBN,2022-12-21 0:00:00,수,22:23:31,23:04:23,46:21:00,29회,1.19765251,1.392619198,0,0,0,0,0.402683933,0.468237131,0.04019267,0.046735662,0.562229878,0.653755672,0.408439133,0.474929224,0.69800453,0.811633174,0.787190728,0.915338056,0.373438132,0.434230386,1.428128637,1.660614694,1.536180051,1.786255873,1.738600921,2.021628978,1.723424554,2.00398204,2.723529153,3.166894364
700,고딩엄빠2(본),오락,MBN,2022-12-28 0:00:00,수,22:22:59,23:13:05,50:06:00,30회,1.094789416,1.287987548,0,0,0.068283873,0.080333968,0.357801044,0.420942404,0.356780675,0.41974197,0.377717345,0.444373347,0.514605439,0.605418164,0.519257169,0.610890787,0.743693428,0.874933444,0.566544981,0.666523507,1.002629603,1.179564239,0.97135875,1.142774999,1.784582924,2.099509323,1.581046599,1.860054822,2.616611961,3.078367013
990,고딩엄빠2(본),오락,MBN,2022-12-06 0:00:00,화,22:22:39,23:09:18,46:39:00,27회,0.885210659,1.053822213,0.293866601,0.349841192,0.616113677,0.733468663,0.406058669,0.483403177,0.027608891,0.032867728,0.922819174,1.098594255,0.395814127,0.471207294,0.576002772,0.685717585,1.764298566,2.100355436,0.999075613,1.18937573,1.472899158,1.753451378,0.766621346,0.91264446,1.352272002,1.609847622,0.711216846,0.846686721,0.954751337,1.136608735
1915,고딩엄빠2(본),오락,MBN,2022-12-13 0:00:00,화,22:22:18,23:12:23,50:05:00,28회,0.507566646,0.590193775,1.609591123,1.871617584,0,0,0.121939654,0.141790295,0.14709514,0.17104086,0.160801652,0.186978665,0.146681098,0.170559416,0.315404739,0.366749697,0.623197175,0.724647878,0.594817937,0.691648764,0.679899281,0.79058056,0.343524523,0.39944712,0.781549725,0.90877875,0.70375853,0.818323872,0.636703727,0.740353171
1323,고딩엄빠(본),오락,MBN,2022-04-03 0:00:00,일,21:21:05,21:59:36,47:08:00,5회,0.708602265,0.823956122,0.129847379,0.150985324,0.662146771,0.769938106,0.134545936,0.156448763,1.17037352,1.360899442,0.167382174,0.194630435,0.373892322,0.434758513,0.675373543,0.785318073,0.448123483,0.521073817,0.43016699,0.500194174,0.741224365,0.861888796,0.704780229,0.819511894,0.797667103,0.927519887,0.78386076,0.911466,1.448533223,1.684340957
1377,고딩엄빠(본),오락,MBN,2022-04-24 0:00:00,일,21:21:27,22:04:31,42:54:00,8회,0.681343266,0.783153179,0.457749905,0.526149316,0.658547508,0.756951158,0.194246953,0.22327236,0.975657849,1.121445804,0.030457243,0.035008326,0.660638254,0.759354315,0.759054231,0.872476127,0.362977405,0.417215408,0.61090584,0.702190621,0.950356027,1.092363249,0.802622899,0.922555056,0.911823573,1.048073073,0.862882153,0.991818567,0.759946371,0.873501576
1443,고딩엄빠(본),오락,MBN,2022-04-17 0:00:00,일,21:19:58,22:02:18,42:20:00,7회,0.658639356,0.774869831,0,0,0.132637584,0.156044216,0.296815167,0.349194314,0.549394644,0.646346639,0.102755639,0.120888987,0.080835012,0.095100014,0.160035097,0.188276585,0.116038681,0.136516095,0.464150861,0.546059836,0.678454313,0.798181544,0.664744976,0.782052913,1.232760222,1.450306144,1.049244823,1.234405675,1.479803361,1.740945131
1494,고딩엄빠(본),오락,MBN,2022-04-10 0:00:00,일,21:24:44,21:58:50,46:51:00,6회,0.639810014,0.789888906,1.497961821,1.849335581,1.190927936,1.470281402,0.04224697,0.052156753,0.503437477,0.62152775,0.375354959,0.463401184,0.163669954,0.202061672,0.234558289,0.289578135,0.612775196,0.756512588,0.524625433,0.64768572,0.362345609,0.447340258,0.429058713,0.529702114,0.773131001,0.954482717,0.959420185,1.184469365,1.197024118,1.477807554
1377,고딩엄빠(본),오락,MBN,2022-05-22 0:00:00,일,21:20:48,21:58:41,,12회,0.69125656,0.803786698,1.707636309,1.985623615,1.250434655,1.453993784,0.24063699,0.279810454,0.009706209,0.011286289,0.095655806,0.111227681,0.115257161,0.134019955,1.231055933,1.431460387,0.918198261,1.067672397,0.473094952,0.55011041,0.259041503,0.30121105,0.309369992,0.359732549,0.612611743,0.712339236,1.011089105,1.175685006,1.324204205,1.539772331
1429,고딩엄빠(본),오락,MBN,2022-05-08 0:00:00,일,21:22:23,21:58:29,,10회,0.670923689,0.808341794,0,0,0.075969066,0.091528995,0.148324446,0.178704152,0.726521427,0.87532702,0.187051847,0.225363671,0.090524421,0.109065567,0.518322149,0.624484516,0.835461898,1.006580601,0.580103725,0.698920151,0.854093791,1.029028664,0.388825217,0.468464117,0.831923493,1.002317461,1.030426086,1.241477212,1.270108621,1.53025135
1898,고딩엄빠(본),오락,MBN,2022-05-15 0:00:00,일,21:22:06,21:58:46,,11회,0.525035006,0.617688243,0.411620597,0.484259525,0.310137666,0.364867843,0.041649693,0.048999639,0.596709028,0.702010621,0.016675125,0.019617794,0.114707111,0.134949542,0.70661446,0.83131113,0.221816828,0.260960974,0.335565809,0.394783305,0.247658026,0.291362384,0.40288951,0.473987658,0.654945264,0.77052384,0.778695469,0.916112317,1.24716277,1.467250318
3223,고딩엄빠(본),오락,MBN,2022-05-01 0:00:00,일,22:01:06,22:47:26,,9회,0.293322393,0.637657377,0.934005313,2.030446332,0.529390733,1.150849419,0.062455318,0.135772431,0.097968547,0.212975103,0.095564948,0.207749887,0.339894921,0.738902002,0.060056246,0.130557057,0.243123986,0.528530404,0.268732905,0.584201967,0.128904426,0.280227014,0.206285476,0.448446686,0.235595379,0.512163868,0.377856032,0.821426156,0.619166251,1.346013589
1226,고딩엄빠2(본),오락,MBN,2022-06-07 0:00:00,화,22:23:46,23:06:17,42:31:00,1회,0.72330611,0.850948365,0,0,0.378481766,0.445272666,0.122222277,0.143790914,0.030884618,0.036334844,0.535654659,0.630181952,0.105479768,0.124093845,0.226889609,0.266928951,0.822398911,0.96752813,0.685466208,0.806430833,1.143691257,1.345519126,0.594990674,0.699989028,1.314496735,1.546466748,0.900697576,1.059644207,1.259551895,1.481825759
1346,고딩엄빠2(본),오락,MBN,2022-06-14 0:00:00,화,22:21:54,23:06:21,44:27:00,2회,0.668293586,0.814992178,0.003747964,0.004570688,0,0,0.367713936,0.44843163,0.032227997,0.039302436,0.302680126,0.369122105,0.029765471,0.036299355,0.985742697,1.20212524,0.990069199,1.207401462,0.125154249,0.152627133,0.820705231,1.000860037,0.619233411,0.755162696,1.213268494,1.479595724,0.96620643,1.178300524,1.034070817,1.261061971
1523,고딩엄빠2(본),오락,MBN,2022-06-21 0:00:00,화,22:22:47,23:07:15,40:25:00,3회,0.607213256,0.714368536,0.359841091,0.42334246,1.450713223,1.706721439,0,0,0.103131361,0.121331013,1.002029393,1.178858109,0.189327088,0.222737751,0.578543238,0.680639103,1.219883747,1.435157349,0.201357373,0.236891027,0.068656165,0.080771959,0.70332355,0.827439471,0.775221575,0.912025382,0.530567945,0.624197582,1.029010912,1.210601073
5170,고딩엄빠2(본),오락,MBN,2022-06-28 0:00:00,화,22:22:15,23:08:27,38:53:00,4회,0.099407995,0.116950583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015262926,0.017956384,0.002394599,0.002817176,0.255978998,0.301151763,0.097016815,0.114137429,0.459094012,0.540110603
1058,고딩엄빠2(본),오락,MBN,2022-07-26 0:00:00,화,22:24:47,23:06:05,41:18:00,8회,0.81576823,0.982853289,0.695352225,0.837773765,0,0,0.584939004,0.704745789,0.166500487,0.200602996,0.095999305,0.115661813,0.385418208,0.464359287,1.013558492,1.22115481,1.012948681,1.220420097,0.324252425,0.390665572,0.847037957,1.020527659,0.525340542,0.632940413,1.236475292,1.489729268,1.268766944,1.528634872,1.422635311,1.714018447
1240,고딩엄빠2(본),오락,MBN,2022-07-05 0:00:00,화,22:25:33,23:04:09,47:12:00,5회,0.73655025,0.85645378,0,0,0,0,0.529531611,0.615734431,0.10212786,0.118753325,0.638547447,0.742497032,0.2233912,0.259757209,0.684862606,0.796351867,1.017374715,1.182993854,0.25032466,0.291075186,0.57220041,0.665349314,0.884752265,1.028781704,0.905198166,1.052556007,0.921600426,1.071628402,1.458833233,1.696317712
