번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률, 
1294,요즘육아금쪽같은내새끼(본),오락,채널A,2023-02-24 0:00,금,20:02:59,21:17:01,0074:02,135회,0.662185111,0.894844745,0.259465583,0.350629166,0.13394405,0.181005474,0.503756838,0.680752483,0.333896209,0.451211093,0.291086979,0.393360783,0.215582024,0.291327059,0.099260894,0.134136343,0.803261446,1.085488441,0.447465356,0.604682914,0.984492864,1.330395762,0.441087418,0.596064078,1.150965423,1.55535868,0.956385877,1.292413347,1.1226291,0.325820034,
1310,요즘남자라이프신랑수업(본),오락,채널A,2023-02-15 0:00,수,21:20:14,22:53:08,0092:54,51회,0.655723339,0.705078859,0,0,0,0,0.20145982,0.216623462,0.165911636,0.178399609,0.38596246,0.415013398,0.10383415,0.111649624,0.682772609,0.734164096,0.313321217,0.336904534,0.458631556,0.493152211,0.171789399,0.184719784,0.257875919,0.277285934,0.658560837,0.708129932,1.145827581,1.232072668,1.920487948,0.179515275,
1382,요즘남자라이프신랑수업(본),오락,채널A,2023-02-08 0:00,수,21:22:47,22:55:44,0092:57,50회,0.622974608,0.66986517,0,0,0,0,0.13001566,0.139801785,0.175264987,0.188456975,0.004893764,0.005262111,0.214924256,0.23110135,0.985526042,1.059705421,0.378796006,0.407307533,0.375450144,0.403709832,0.258817975,0.278298898,0.338669713,0.364160981,0.66541233,0.715497129,0.893643955,0.960907479,1.821735609,0.077352392,
1464,요즘남자라이프신랑수업(본),오락,채널A,2023-02-01 0:00,수,21:19:57,22:54:13,0094:16,49회,0.59541435,0.633419522,0,0,0,0,0.030192569,0.032119754,0,0,0.161148921,0.171435022,0.182692169,0.194353371,0.333530463,0.354819641,0.690599945,0.734680793,0.445960602,0.474426172,0.367398787,0.390849773,0.399823135,0.425343761,1.366752052,1.453991544,0.86641323,0.921716202,1.304597077,0.275280617,
1589,요즘남자라이프신랑수업(본),오락,채널A,2023-02-22 0:00,수,21:20:47,22:54:26,0093:39,52회,0.55594301,0.597788183,0.006862742,0.007379292,0.270236874,0.290577284,0.004290939,0.004613913,0.002326005,0.002501081,0.079969496,0.085988705,0.277358224,0.29823465,0.426063689,0.458132999,0.337376108,0.362770008,0.734862202,0.790174411,0.365643377,0.393164921,0.822209125,0.884095833,0.879463854,0.945660058,0.636370794,0.684269671,1.158421196,4.63806205,
1827,요즘육아금쪽같은내새끼(본),오락,채널A,2023-02-10 0:00,금,20:03:23,21:15:24,0072:01,133회,0.498279259,0.692054526,0.133645497,0.185618745,0.009652037,0.013405607,0.014233563,0.019768837,0.42973533,0.596854626,0.102214718,0.141964886,0.576473392,0.800657489,0.19663149,0.273099291,0.459057175,0.63757941,0.899792364,1.249711617,0.600871447,0.834543677,0.247660847,0.343973399,0.923763542,1.283004919,0.514970851,0.715237293,0.752844547,0.595211297,
1308,요즘남자라이프신랑수업(본),오락,채널A,2023-03-29 0:00,수,21:12:23,22:55:58,1900-01-04 7:35,57회,0.67900861,0.652892894,0,0,0,0,0.016439153,0.015806878,0.003235877,0.00311142,0.125268499,0.12045048,0.170565051,0.164004857,0.791601139,0.761154941,0.727896379,0.699900364,1.133753913,1.090147993,0.188916914,0.181650879,0.521695323,0.501630119,1.215079348,1.168345527,0.909084935,0.874120129,1.34971044,1.2977985,
1330,요즘남자라이프신랑수업(본),오락,채널A,2023-03-01 0:00,수,21:10:34,22:43:42,0093:08,53회,0.669070356,0.71943049,0,0,0.369577684,0.39739536,0.17039962,0.183225398,0.00227479,0.002446011,0.158723641,0.170670581,0.239246353,0.257254143,0.751111896,0.8076472,0.481762606,0.518024307,0.523991277,0.563431481,0.569459601,0.612322151,0.418807738,0.450330901,1.383981696,1.488152361,1.064877616,1.145029695,1.228498358,1.320965976,
1364,요즘육아금쪽같은내새끼(본),오락,채널A,2023-03-10 0:00,금,20:02:29,21:14:31,0072:02,137회,0.654837145,0.897037185,0.122347156,0.167598844,0,0,0,0,0.41170262,0.563976192,0.423453288,0.580072997,0.299051777,0.409659969,0.321133041,0.439908275,0.514963619,0.705429616,0.33096041,0.453370425,0.758428624,1.03894332,0.1393192,0.19084822,0.824773846,1.129827186,0.804244645,1.101704993,1.8769337,2.571142055,
1474,요즘남자라이프신랑수업(본),오락,채널A,2023-03-22 0:00,수,21:13:03,22:47:48,0094:45,56회,0.614952598,0.647318524,0,0,0,0,0.182991354,0.192622478,0.317702146,0.334423311,0.05694455,0.059941632,0.008457695,0.008902837,0.989672477,1.041760502,0.446470585,0.469969037,0.537141381,0.56541198,0.565573414,0.595340436,0.349652849,0.36805563,0.460905692,0.485163886,0.915457403,0.963639371,1.567454378,1.649951977,
